Ensembl Gene ID	RefSeq Protein ID [e.g. NP_001005353]
YHR055C	NP_011920
YHR055C	NP_011922
YPR161C	NP_015487
YOL138C	NP_014503
YDR395W	NP_010683
YGR129W	NP_011645
YPR165W	NP_015491
YPR098C	NP_015423
YPL015C	NP_015310
YCL050C	NP_009880
YAL069W	
YMR193W	NP_013918
YLR031W	NP_013131
YIL014C-A	NP_012250
YGR053C	NP_011567
YCR101C	NP_010025
YER087C-B	NP_011011
YOR280C	NP_014923
YGR097W	NP_011611
YHR215W	NP_012087
YKL025C	NP_012900
YKR011C	NP_012936
YEL004W	NP_010912
YJL200C	NP_012335
YLL027W	NP_013073
YOR024W	
YLR045C	NP_013146
YDR348C	NP_010635
YPL183C	NP_015142
YGR003W	NP_011517
YEL008C-A	
YBL095W	NP_009457
YGL060W	NP_011455
YLL007C	NP_013094
YEL009C	NP_010907
YEL015W	NP_010901
YOR083W	NP_014726
YBR252W	NP_009811
YDR329C	NP_010616
YDL202W	NP_010079
YHR209W	NP_012079
YPR008W	NP_015333
YER075C	NP_010998
YDL203C	NP_010078
YBR050C	NP_009606
YMR197C	NP_013924
YDR261W-A	NP_058147
YBL049W	NP_009504
YER054C	NP_010974
YDR305C	NP_010591
YHL019W-A	
YNL201C	NP_014198
YHR180W-A	
YCR061W	NP_009987
YBR206W	
YPL171C	NP_015154
YHR051W	NP_011918
YDL116W	NP_010167
YPR124W	NP_015449
YJL023C	NP_012511
YGL167C	NP_011348
YDL165W	NP_010116
YLR154C-H	NP_878122
YLR154C-H	NP_878127
YLR154C-H	NP_878126
YLR154C-H	NP_878123
YPL119C-A	NP_878181
YIL143C	NP_012123
YBR292C	
YGR240C	NP_011756
YOR094W	NP_014737
YDR167W	NP_010451
YBR063C	NP_009619
YER052C	NP_010972
YGR178C	NP_011694
YPL118W	NP_015207
YPR187W	NP_015513
YJL065C	NP_012470
YOL141W	NP_014500
YPR086W	NP_015411
YBR122C	NP_009680
YBR271W	NP_009830
YBR279W	NP_009838
YHR095W	
YMR221C	NP_013948
YDR241W	
YJL221C	NP_012314
YJL221C	NP_012096
YER130C	NP_011056
YBR155W	NP_009713
YDR363W	NP_010650
YGR266W	NP_011782
YLR443W	NP_013548
YPL147W	NP_015178
YAL034C	NP_009368
YBR067C	NP_009623
YCR095C	NP_010019
YLR270W	NP_013372
YPR084W	NP_015409
YBR184W	NP_009743
YMR113W	NP_013831
YGR035C	NP_011549
YDL222C	NP_010059
YCL008C	NP_009919
YEL065W	NP_010849
YNL335W	NP_116594
YNL335W	NP_014064
YMR296C	NP_014025
YDR232W	NP_010518
YGR190C	
YHR116W	NP_011984
YDR313C	NP_010599
YFR018C	NP_116673
YKL007W	NP_012918
YIL048W	NP_012216
YDL213C	NP_010068
YDR443C	NP_010731
YNL292W	NP_014107
YKL183C-A	NP_878109
YOR324C	NP_014969
YNL134C	NP_014265
YKL100C	NP_012822
YOR192C-B	NP_058185
YPL021W	NP_015304
YIL146C	NP_012120
YLR299C-A	
YNL218W	NP_014181
YIL121W	NP_012145
YNL228W	
YDL167C	NP_010114
YPL214C	NP_015110
YOR228C	NP_014871
YBR270C	NP_009829
YGR222W	NP_011738
YEL063C	NP_010851
YAL068W-A	
YML020W	NP_013692
YGR121C	NP_011636
YBR222C	NP_009781
YDL095W	NP_010188
YDL003W	NP_010281
YOR323C	NP_014968
YMR183C	NP_013908
YOR274W	NP_014917
YER146W	NP_011073
YML075C	NP_013636
YOL035C	
YPL063W	NP_015262
YDR457W	NP_010745
YLR273C	NP_013375
YDR181C	NP_010467
YLR434C	
YGL097W	NP_011418
YCL056C	NP_009875
YJL083W	NP_012452
YMR242W-A	NP_878147
YOR026W	NP_014669
YPL140C	NP_015185
YNR016C	NP_014413
YER123W	NP_011049
YGR055W	NP_011569
YKR054C	NP_012980
YMR315W	NP_014046
YAL024C	NP_009378
YKL202W	
YKL187C	NP_012734
YDR383C	NP_010671
YDR396W	
YGR115C	
YKL055C	NP_012868
YDR035W	NP_010320
YBL062W	
YHR160C	NP_012030
YGR047C	NP_011561
YDR119W	NP_010404
YBR208C	NP_009767
YER151C	NP_011078
